frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
110.0,0.95549804,0.842019,0.9300598,0.4474268,0.79248804,0.9888571,0.99255943,0.9456559,0.9729057,0.93201244,0.95970494,0.9957766,0.99663794,0.994582,0.9958811,0.9874341,0.9895751
111.0,0.95519114,0.8428005,0.92858225,0.4526406,0.78753436,0.98903126,0.9924056,0.94685894,0.9720148,0.9329165,0.95857435,0.9958215,0.99660134,0.99462044,0.99581593,0.9874692,0.98942566
112.0,0.95445883,0.84154636,0.9269718,0.4533676,0.7838725,0.9890821,0.9922341,0.9472623,0.9711022,0.93294466,0.95736915,0.995884,0.99659795,0.9947384,0.9958372,0.98776346,0.98954135
113.0,0.9552399,0.8396049,0.9297264,0.44411704,0.79242367,0.98847765,0.9926126,0.9424527,0.9731545,0.9283763,0.9595743,0.9956067,0.9965934,0.9943017,0.99579716,0.9867595,0.9892675
114.0,0.9549607,0.8408728,0.9287242,0.4477578,0.7886399,0.9887571,0.9924083,0.9448315,0.97210294,0.93068737,0.958468,0.9957575,0.996603,0.9945622,0.995846,0.9873728,0.9894894
115.0,0.9545843,0.83610225,0.93014044,0.43499964,0.79667443,0.988306,0.9926145,0.94184875,0.97344613,0.9279328,0.9599844,0.99564785,0.99664956,0.9944382,0.99592423,0.9871754,0.9896492
116.0,0.95338297,0.8306687,0.92929,0.42623875,0.79853076,0.9880895,0.99253756,0.9405227,0.973201,0.9263868,0.9595191,0.9956754,0.9966838,0.99455416,0.99602926,0.9875602,0.98999107
117.0,0.9539288,0.8333474,0.93010193,0.42929307,0.7995265,0.9883475,0.9925115,0.942376,0.97296,0.9283532,0.95940286,0.9957283,0.9966696,0.99460274,0.99598926,0.98760056,0.98987633
118.0,0.95402724,0.83531564,0.9294363,0.4347,0.79606766,0.9885061,0.9924418,0.9433431,0.97245187,0.9291124,0.9587522,0.9957481,0.99664044,0.994599,0.9959287,0.9875623,0.98973817
119.0,0.9543202,0.83225566,0.9319752,0.4238911,0.8059411,0.987941,0.99263257,0.9385309,0.97333467,0.9242081,0.9594923,0.9955017,0.9965988,0.9942807,0.99588937,0.9870018,0.9896487
